title,text,label,source,date
Sample News Title 0,This is a sample news article content number 0.,0,CNN,2023-11-24
Sample News Title 1,This is a sample news article content number 1.,0,BBC,2023-05-21
Sample News Title 2,This is a sample news article content number 2.,0,BuzzFeed,2023-03-13
Sample News Title 3,This is a sample news article content number 3.,0,BuzzFeed,2023-12-13
Sample News Title 4,This is a sample news article content number 4.,0,NY Times,2023-10-30
Sample News Title 5,This is a sample news article content number 5.,0,CNN,2023-01-16
Sample News Title 6,This is a sample news article content number 6.,0,The Guardian,2023-04-30
Sample News Title 7,This is a sample news article content number 7.,1,BBC,2023-10-15
Sample News Title 8,This is a sample news article content number 8.,1,NY Times,2023-04-23
Sample News Title 9,This is a sample news article content number 9.,0,Al Jazeera,2023-01-04
Sample News Title 10,This is a sample news article content number 10.,1,NY Times,2023-12-24
Sample News Title 11,This is a sample news article content number 11.,0,BBC,2023-05-23
Sample News Title 12,This is a sample news article content number 12.,0,CNN,2023-06-22
Sample News Title 13,This is a sample news article content number 13.,1,CNN,2023-07-14
Sample News Title 14,This is a sample news article content number 14.,1,The Guardian,2023-06-26
Sample News Title 15,This is a sample news article content number 15.,1,BuzzFeed,2023-01-23
Sample News Title 16,This is a sample news article content number 16.,1,CNN,2023-10-02
Sample News Title 17,This is a sample news article content number 17.,1,The Guardian,2023-02-10
Sample News Title 18,This is a sample news article content number 18.,1,The Guardian,2023-11-18
Sample News Title 19,This is a sample news article content number 19.,0,BBC,2023-10-23
Sample News Title 20,This is a sample news article content number 20.,0,BuzzFeed,2023-01-24
Sample News Title 21,This is a sample news article content number 21.,0,CNN,2023-05-29
Sample News Title 22,This is a sample news article content number 22.,1,NY Times,2023-02-21
Sample News Title 23,This is a sample news article content number 23.,1,BuzzFeed,2023-08-21
Sample News Title 24,This is a sample news article content number 24.,1,Fox News,2023-03-25
Sample News Title 25,This is a sample news article content number 25.,1,BuzzFeed,2023-04-18
Sample News Title 26,This is a sample news article content number 26.,0,BuzzFeed,2023-12-26
Sample News Title 27,This is a sample news article content number 27.,0,BuzzFeed,2023-11-08
Sample News Title 28,This is a sample news article content number 28.,0,BuzzFeed,2023-10-01
Sample News Title 29,This is a sample news article content number 29.,1,NY Times,2023-03-25
Sample News Title 30,This is a sample news article content number 30.,0,BuzzFeed,2023-05-19
Sample News Title 31,This is a sample news article content number 31.,0,Fox News,2023-12-17
Sample News Title 32,This is a sample news article content number 32.,0,Al Jazeera,2023-04-28
Sample News Title 33,This is a sample news article content number 33.,1,NY Times,2023-06-11
Sample News Title 34,This is a sample news article content number 34.,1,BBC,2023-02-03
Sample News Title 35,This is a sample news article content number 35.,1,BuzzFeed,2023-04-19
Sample News Title 36,This is a sample news article content number 36.,1,BuzzFeed,2023-07-22
Sample News Title 37,This is a sample news article content number 37.,0,Fox News,2023-03-15
Sample News Title 38,This is a sample news article content number 38.,1,BuzzFeed,2023-05-07
Sample News Title 39,This is a sample news article content number 39.,1,NY Times,2023-10-27
Sample News Title 40,This is a sample news article content number 40.,0,BBC,2023-07-05
Sample News Title 41,This is a sample news article content number 41.,0,NY Times,2023-09-18
Sample News Title 42,This is a sample news article content number 42.,0,Al Jazeera,2023-01-25
Sample News Title 43,This is a sample news article content number 43.,0,BuzzFeed,2023-03-20
Sample News Title 44,This is a sample news article content number 44.,0,NY Times,2023-12-15
Sample News Title 45,This is a sample news article content number 45.,1,NY Times,2023-07-17
Sample News Title 46,This is a sample news article content number 46.,0,Fox News,2023-09-28
Sample News Title 47,This is a sample news article content number 47.,0,BuzzFeed,2023-12-15
Sample News Title 48,This is a sample news article content number 48.,1,The Guardian,2023-12-16
Sample News Title 49,This is a sample news article content number 49.,0,Fox News,2023-11-25
Sample News Title 50,This is a sample news article content number 50.,0,NY Times,2023-05-31
Sample News Title 51,This is a sample news article content number 51.,1,CNN,2023-08-21
Sample News Title 52,This is a sample news article content number 52.,0,Al Jazeera,2023-09-14
Sample News Title 53,This is a sample news article content number 53.,1,CNN,2023-09-17
Sample News Title 54,This is a sample news article content number 54.,0,The Guardian,2023-11-24
Sample News Title 55,This is a sample news article content number 55.,0,Fox News,2023-03-20
Sample News Title 56,This is a sample news article content number 56.,0,Al Jazeera,2023-10-04
Sample News Title 57,This is a sample news article content number 57.,1,Fox News,2023-11-03
Sample News Title 58,This is a sample news article content number 58.,1,CNN,2023-01-10
Sample News Title 59,This is a sample news article content number 59.,0,BBC,2023-06-07
Sample News Title 60,This is a sample news article content number 60.,0,The Guardian,2023-05-04
Sample News Title 61,This is a sample news article content number 61.,1,BuzzFeed,2023-02-13
Sample News Title 62,This is a sample news article content number 62.,0,Al Jazeera,2023-02-05
Sample News Title 63,This is a sample news article content number 63.,1,BuzzFeed,2023-03-07
Sample News Title 64,This is a sample news article content number 64.,1,BBC,2023-10-09
Sample News Title 65,This is a sample news article content number 65.,1,Al Jazeera,2023-09-28
Sample News Title 66,This is a sample news article content number 66.,0,The Guardian,2023-04-19
Sample News Title 67,This is a sample news article content number 67.,1,Fox News,2024-01-01
Sample News Title 68,This is a sample news article content number 68.,1,BuzzFeed,2023-12-10
Sample News Title 69,This is a sample news article content number 69.,1,The Guardian,2023-08-13
Sample News Title 70,This is a sample news article content number 70.,0,BBC,2023-03-03
Sample News Title 71,This is a sample news article content number 71.,0,Fox News,2023-02-02
Sample News Title 72,This is a sample news article content number 72.,0,The Guardian,2023-10-29
Sample News Title 73,This is a sample news article content number 73.,0,BBC,2023-10-29
Sample News Title 74,This is a sample news article content number 74.,0,BuzzFeed,2023-02-06
Sample News Title 75,This is a sample news article content number 75.,0,CNN,2023-04-28
Sample News Title 76,This is a sample news article content number 76.,0,CNN,2023-06-19
Sample News Title 77,This is a sample news article content number 77.,1,BuzzFeed,2023-05-23
Sample News Title 78,This is a sample news article content number 78.,0,The Guardian,2023-04-20
Sample News Title 79,This is a sample news article content number 79.,1,The Guardian,2023-10-20
Sample News Title 80,This is a sample news article content number 80.,1,Al Jazeera,2023-05-05
Sample News Title 81,This is a sample news article content number 81.,0,BBC,2023-07-28
Sample News Title 82,This is a sample news article content number 82.,1,BuzzFeed,2023-02-19
Sample News Title 83,This is a sample news article content number 83.,1,NY Times,2023-07-01
Sample News Title 84,This is a sample news article content number 84.,0,Al Jazeera,2023-08-28
Sample News Title 85,This is a sample news article content number 85.,0,BuzzFeed,2023-12-11
Sample News Title 86,This is a sample news article content number 86.,1,NY Times,2023-02-01
Sample News Title 87,This is a sample news article content number 87.,0,BBC,2023-02-25
Sample News Title 88,This is a sample news article content number 88.,1,The Guardian,2023-04-08
Sample News Title 89,This is a sample news article content number 89.,0,NY Times,2023-03-13
Sample News Title 90,This is a sample news article content number 90.,0,NY Times,2023-05-23
Sample News Title 91,This is a sample news article content number 91.,0,NY Times,2023-02-08
Sample News Title 92,This is a sample news article content number 92.,0,BuzzFeed,2023-01-26
Sample News Title 93,This is a sample news article content number 93.,0,Al Jazeera,2023-02-17
Sample News Title 94,This is a sample news article content number 94.,1,NY Times,2023-03-27
Sample News Title 95,This is a sample news article content number 95.,1,BBC,2023-09-04
Sample News Title 96,This is a sample news article content number 96.,1,BBC,2023-01-31
Sample News Title 97,This is a sample news article content number 97.,1,NY Times,2023-01-02
Sample News Title 98,This is a sample news article content number 98.,1,Fox News,2023-08-21
Sample News Title 99,This is a sample news article content number 99.,1,BuzzFeed,2023-12-23
